"link","link"
"An error has occurred. Please, try again later","Er heeft zich een fout voorgedaan, probeer later opnieuw"
"Action.FlightSheetRemoved","Flight Sheet succesvol verwijderd"
"Action.FlightSheetCreated","Flight Sheet succesvol aangemaakt"
"Command sent","Commando verzonden"
"Action.TransferFarm","Aanvraag voor het wijzigen van eigenaar verzonden"
"Settings updated","instellingen gewijzigd"
"Tag added","Tag toegevoegd"
"Tag edited","Tag gewijzigd"
"Tag removed","Tag verwijderd"
"Wallet added","Wallet toegevoegd"
"Wallet edited","Wallet gewijzigd"
"Wallet removed","Wallet verwijderd"
"Collaborator added","Collaborator toegevoegd"
"Collaborator removed","Collaborator verwijderd"
"Collaborator edited","Collaborator gewijzigd"
"Action.LeftFarm","U heeft de farm verlaten"
"Action.UpdateFs","Flight Sheet succesvol gewijzigd. Offline workers moeten herstart worden om wijzigen te activeren"
"Action.AddOC","Overclocking profiel succesvol gewijzigd"
"Action.RefillFarm","Farm balans aangevuld"
"Action.ErrorServerRequest","Er heeft zich een fout voorgedaan, probeer later opnieuw"
"Error","Fout"
"Action.SendPromocode","U heeft zich succesvol ingeschreven"
"Action.PatchToken","Token succesvol gewijzigd"
"Action.AddToken","Token succesvol aangemaakt"
"Action.DeleteToken","Token succesvol verwijderd"
"Promocode successfully sended","Promotiecode succesvol verzonden"
"Action.UpdatePayoutAddresses","Adres succesvol gewijzigd"
"Action.PayoutToAccount","Uw account balans is succesvol aangevuld"
"Action.SetPassword","Wachtwoord succesvol gewijzigd"
"2FA enabled","2FA geactiveerd"
"2FA removed","2FA verwijderd"
"",""
"NVIDIA","NVIDIA"
"Apply","Toepassen"
"Confirm","Bevestigen"
"TelegramSubscribe","Enter telegram id om in te schrijven"
"Enter code to confirm","Enter code om te bevestigen"
"Subscribe","Inschrijven"
"Remove","Verwijderen"
"Are you shure?","Bent u zeker?"
"Edit","Wijzig"
"temp","temp"
"Farms","Farms"
"workers","workers"
"ethash","ethash"
"CriticalIssues",""
"Off","Uit"
"30 seconds","30 seconden"
"1 minute","1 minuut"
"2 minutes","2 minuten"
"5 minutes","5 minuten"
"AutoRefresh","Pagina verversen timer"
"All","Alle"
"Cancel","Annuleren"
"Download VBIOS","Download VBIOS"
"GPU index","GPU index"
"NotGPUDifferent","Nota: GPU index kan verschillend zijn minder volgorde tov PCI Bus volgorde"
"Download","Download"
"Apply Changes","Wijziging doorvoeren"
"WalletWorkTemplate","Wallet and worker template:"
"Pass:","Wachtwoord:"
"Extra config arguments:","Extra configuratie parameters:"
"Pool URL:","Pool URL:"
"Miner Fork:","Miner Fork:"
"Hash algorithm:","Hash algoritme:"
"Extra params for pool:","Extra parameters voor pool:"
"Extra arguments for miner:","Extra parameters voor miner:"
"Version:","Versie:"
"Template examples:","Template voorbeelden:"
"for most of the pools","voor de meeste pools"
"Intensity, -dcri 0...100","Intensity, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt template:"
"dpools.txt template:","dpools.txt template:"
"Claymore config override:","Claymore config override:"
"Example for nanopool:","Voorbeeld voor nanopool:"
"Example for nicehash:","Voorbeeld voor nicehash:"
"Second coin algo","2de munt algo"
"Config override:","Config override:"
"Pool server:","Pool server:"
"Port:","Poort:"
"index","index"
"AMD config override:","AMD config override:"
"Nvidia config override:","Nvidia config override:"
"CPU config override:","CPU config override:"
"Errors","Fouten"
"last 24 hours","laatste 24 uur"
"Workers with errors","Workers met fouten"
"No errors found","Geen fouten gevonden"
"Show","Toon"
"Overclocking","Overclocking"
"Coins","Munten"
"Pools","Pools"
"Miners","Miners"
"Select pools","Selecteer pools"
"Select miners","Selecteer miners"
"Select coin","Selecteer munt"
"Select overclocking","Selecteer overclocking"
"by","door"
"View payload","bekijk payload"
"Add Wallet","Wallet toevoegen"
"Red Temperature","Max temperatuur"
"Trust user","Vertrouw gebruiker"
"Add Worker","Worker toevoegen"
"FarmNavCleanWorkers","Verwijder alle worker berichten"
"Save","Opslaan"
"FarmTempHeader.ASICCriticalTemperature","ASIC Kritische Temperatuur"
"Ask a question","Stel een vraag"
"Report an issue","Rapporteer een probleem"
"Tags","Tags"
"Wallets","Wallets"
"Platform","Platform"
"Run","Uitvoeren"
"Wallet","Wallet"
"Coin","Coin"
"Pool","Pool"
"Miner","Miner"
"Select pool","Selecteer pool"
"Select miner","Selecteer miner"
"Select wallet","Selecteer wallet"
"Configure Pool","Configureer Pool"
"Setup Miner Config","Wijzig Miner Configuratie"
"Dual Coin","Dual Coin"
"Dual Wallet","Dual Wallet"
"Dual Pool","Dual Pool"
"","Decred/Siacoin/Lbry/Pascal intensity. Standaard waarde is 30. Voor PASC normale waarde is rond de 10, voor SIA ongeveer 15. Hogere waardes zullen de ETH mining performance verlagen."
"Configure in miner","Configureer in miner"
"Update","Wijzig"
"Add New Flight Sheet","Nieuwe Flight Sheet toevoegen"
"Reset","Reset"
"Create Flight Sheet","Nieuwe Flight Sheet aanmaken"
"Add Miner","Miner toevoegen"
"Email","Email"
"worker","worker"
"selected","geselecteerd"
"FlightSheetsRocket.Message","Huidige Flight sheet toegepast voor"
"Choose Flight Sheet for","Kies Flight Sheet voor"
"Your Company","Uw bedrijf"
"Home","Home"
"Admin","Admin"
"Privacy","Privacy"
"Not Found","Niet gevonden"
"off","Uit"
"No","Nee"
"min","min"
"Remote","Remote"
"Consumption","Verbruik"
"AES","AES"
"Cores","Cores"
"Motherboard","Moederbrod"
"Free space","Vrije ruimte"
"Free RAM","Vrij geheugen"
"OS version","OS versie"
"Drivers","Drivers"
"Yes","Ja"
"System type","Systeem type"
"Kernel","Kernel"
"Local IP","Lokaal IP"
"Load Average","Gemiddelde load"
"rigs","rigs"
"Jump to farms, workers...","Switch naar frarms, workers…"
"Notifications","Meldingen"
"unread","ongelezen"
"Show all","Toon alles"
"No notifications yet","nog geen meldingen"
"View geo location","toon geo locatie"
"from","van"
"Accept","Accepteer"
"Decline","Wijger"
"Term expires in","Termijn vervalt in"
"Enter value","Vul waarde in"
"Generate","Genereer"
"Enter start date","Vul start datum in"
"Start date","Start datum"
"End date","Eind datum"
"Enter end date","Vul eind datum in"
"Name","Naam"
"Create","Creeer"
"Russian","Russisch"
"Chinese","Chinees"
"English","Engels"
"NoActiveFound","Nog geen activiteiten gevonden"
"all activities","Alle activiteiten"
"Latest Activity","Laatste activiteiten"
"Load","Load"
"warning","dstm 0.6.0 heeft zijn config syntax gewijzigd"
"Previous","Vorige"
"Next","Volgende"
"configuration","configuratie"
"MiningInfo","Actieve Flight Sheet"
"Account","Account"
"Sign Out","Uitloggen"
"Billing","Betaling"
"Support","Support"
"Community","Community"
"Forum","Forum"
"Referrals","Referrals"
"NoRightsMessage","Sorry, U heeft niet voldoende rechten om deze pagina te bekijken"
"to","naar"
"Login","Login"
"access","toegang"
"Notification.EventChanged","Melding Event gewijzigd"
"Notification.AccessChanged","Rechten gewijzigd voor"
"Notification.WhitelistChanged","Whitelist gewijzigd"
"Account.NotificationDescription6","U kan deze bot aan een chat groep toevoegen zodat meerdere beheerders workers kunnen monitoren. Creeer uw eigen groep en voeg 'hiveosbot' toe als member. De chat code is negatief voor groepen, in de aard van '-12345'."
"Account.NotificationDescription1","Start een nieuw gesprek met deze bot."
"Account.NotificationDescription2","De bot zal antwoorden met uw CODE rechts, in de aard van '-12345'."
"Account.NotificationDescription3","Uw login is"
"Account.NotificationDescription4","Stuur de bot een commando"
"Account.NotificationDescription5","en het zal uw account inschrijven voor meldingen"
"Update Settings","Update Instellingen"
"Fan","Fan"
"Core Clock","Core Clock"
"Memory Clock","Memory Clock"
"Power Limit","Power limiet"
"(0 for auto)","(0 voor auto)"
